TimeStamp|StoreNumber|RegisterNumber|TransactionNumber|CustomerType|CustomerNumber|EmailAddress|RecommendedEans
2011-08-08 16:33:34.1631|2997|4|6684|Member|5244088139||9780689853944,9781423102991,9780689866814,9781423133087,9780641869662
2011-08-08 16:33:35.4131|2838|3|4070|Member|5249697947||
2011-08-08 16:33:35.9287|1913|4|2660|Unknown|0000000000||9780448453385,9780920236642,9780920236161,9780061845659,9780920668375
2011-08-08 16:33:36.6631|2925|14|3573|Member|5260856297||
2011-08-08 16:33:37.4132|2919|11|1020|Unknown|0000000000||
2011-08-08 16:33:37.7413|2366|14|1636|Unknown|0000000000||
2011-08-08 16:33:37.9444|2071|1|8058|Unknown|0000000000||9780140568387,9780142500057,9780152064686,9780152055868,9780802776648
2011-08-08 16:33:38.3975|2886|5|2835|Unknown|0000000000||9780307454546,9781416589648,9780307454553,9780778327899,9781616832247
2011-08-08 16:33:39.8507|2910|9|881|Member|5168365958||42284623926,75992585422,75992640121,77774606325
2011-08-08 16:33:40.8820|2193|10|8662|Unknown|0000000000||
2011-08-08 16:33:40.9757|2076|6|978|Unknown|0000000000||9780760336069,9780143038887,9781600374005,9780595417421,9780452286771
2011-08-08 16:33:41.1632|2366|6|1441|Unknown|0000000000||9781601630964,9781401923310,9781591431077,9780956302892,9780307716842
2011-08-08 16:33:41.3351|2196|2|7073|Member|5306557832||9780199535903,9781411400375,9780140714760,9781586638450,9781586638443
2011-08-08 16:33:41.5851|2263|5|3907|Unknown|0000000000||9780471467311,9780486246116,9780060726355,9780486202952,9780471575634
2011-08-08 16:33:43.0226|2086|9|747|Employee|15904558043||
2011-08-08 16:33:43.2883|2221|10|8875|Unknown|0000000000||
2011-08-08 16:33:43.6789|2947|6|4793|Member|5088924050||9780736901901,9781600060144,9780570035640,9780736907897,9780736901222
2011-08-08 16:33:43.7883|2067|2|9978|Unknown|0000000000||9780759529687,9780316077644,9780759529519,9781421539386,9780316132114
2011-08-08 16:33:43.8351|2643|3|4913|Member|5111539823||9781416997498,9780316067966,9780316154277,9780439023528,9780061448782
2011-08-08 16:33:43.9914|2627|10|1464|Member|5201912868||
2011-08-08 16:33:44.2727|2782|4|6405|Unknown|0000000000||9780525951568,9780312578602,9780547258300,9781401340933,9781416912057
2011-08-08 16:33:45.0383|2255|16|8342|Member|5205795218||
2011-08-08 16:33:45.7414|2559|4|7407|Member|5249661510||9780440413493,9780594152248,9781423113492,9780810984240,9780763643676
2011-08-08 16:33:46.5227|2270|15|1358|Unknown|0000000000||
2011-08-08 16:33:47.1790|2724|7|1574|Unknown|0000000000||9780785825784,9780785826699,9781616793555,9781435121232,9780810996090
2011-08-08 16:33:47.2415|2351|4|4691|Unknown|0000000000||9780553582024,9780446198073,9780345484208,9780765327727,9780061468391
2011-08-08 16:33:48.1321|2658|12|6|Member|5003694759||
2011-08-08 16:33:48.1634|2870|3|3659|Unknown|0000000000||
2011-08-08 16:33:49.2884|2977|3|8101|Member|5173053766||9781440503504,9781440506024,9780517548233,9781596051508,9780470246009
2011-08-08 16:33:50.4915|1913|4|2660|Unknown|0000000000||9780448453385,9780142404256,9780920236642,9780142406908,9780920236161
2011-08-08 16:33:50.9603|2845|3|778|Member|5173381864||9780594073550,9781616810566,9780594003922,9781616802004,9781616804152
2011-08-08 16:33:51.3197|2227|1|8823|Member|5188257872||9781577312086,9781570671975,9781583333006,9780743581684,9781401391447
2011-08-08 16:33:52.3978|2643|10|2714|Employee|15904089994||
2011-08-08 16:33:52.4447|2190|9|5386|Unknown|0000000000||602527309088,602517665637,796539030464,603497039722
2011-08-08 16:33:52.6322|2026|4|1806|Unknown|0000000000||
2011-08-08 16:33:53.0228|2349|1|9002|Unknown|9008006494||9781407580890,9781407578859,9780756637491,9780789429599,9780789473578
2011-08-08 16:33:53.5697|2236|1|8841|Unknown|0000000000||9781605530642,9781605536972,9781412737753,9781412735926,9781605536330
2011-08-08 16:33:53.7103|2658|1|100|Member|5134710187||9780803734166,9780060089085,9780020430902,9780803734197
2011-08-08 16:33:54.0853|2768|7|7236|Unknown|0000000000||9780061869723,9780062102546,9780061566172,9781595142504,9780594152248
2011-08-08 16:33:54.8510|2966|9|3558|Member|5046023707||9780689858819,9780688147389,9780688140243,9780140564853,9780060245863
2011-08-08 16:33:55.7104|2691|8|6351|Unknown|0000000000||
2011-08-08 16:33:55.9135|2910|11|4469|Unknown|0000000000||
2011-08-08 16:33:56.0385|2314|12|3550|Unknown|0000000000||
2011-08-08 16:33:56.7885|2856|7|8140|Unknown|0000000000||
2011-08-08 16:33:57.0542|2071|9|537|Unknown|0000000000||
2011-08-08 16:33:57.1792|2768|5|9486|Unknown|0000000000||9780762440627,9780762434268,9780061238840,21853061543,9780785251484
2011-08-08 16:33:57.4135|2234|4|3565|Unknown|0000000000||9780060930059,9780061579554,9780684801469,9780451530431,9780679736530
2011-08-08 16:33:57.7885|2081|13|2969|Unknown|0000000000||
2011-08-08 16:33:58.6792|2086|4|1902|Member|5046933342||9780786887651,9780684856094,9781929494170,9780743224703,9781558749429
2011-08-08 16:33:58.7417|2721|6|2477|Unknown|0000000000||9780689874147,9780312563745,9780152054786,9780440418115,9780064462013
2011-08-08 16:33:59.3667|2860|1|9495|Unknown|0000000000||9781439196830,9781439173138,9780061547560,9781598699104,9781605506616
2011-08-08 16:33:59.3979|2236|10|7653|Employee|15902071357||
2011-08-08 16:33:59.7573|2697|9|7486|Employee|15900873858||
2011-08-08 16:33:59.9292|2730|3|997|Unknown|0000000000||9780451531193,9780451528575,9781593081546,9780142437995,9780143039020
2011-08-08 16:34:01.7886|2008|6|5833|Unknown|0000000000||9781435136793,9781435136762,9781435123977,9781435123991,9781435123984
2011-08-08 16:34:01.8511|2227|10|5742|Unknown|0000000000||
2011-08-08 16:34:01.8980|2109|3|5397|Unknown|0000000000||9780393338386,9780465005475,9780806531434,9780670020706,9781580800464
2011-08-08 16:34:02.2574|2809|5|8344|Unknown|0000000000||9780140177398,9780808519225,9780060572150,9780399501487,9780061551840
2011-08-08 16:34:02.9293|2910|4|734|Member|5073552579||9780399157356,9780762772841,9780061576621,9780307272515,9780307464996
2011-08-08 16:34:03.2418|2559|2|2427|Employee|15903726928||
2011-08-08 16:34:03.4136|2196|7|8864|Unknown|0000000000||
2011-08-08 16:34:03.4605|2029|5|4552|Member|5260803214||9780486999401,9780486996110,9781450800532,9780486995915,9781450800549
2011-08-08 16:34:03.8199|2164|3|9493|Unknown|0000000000||9781889392318,9780760742310,9780600613862,9781889392394,9780312565015
2011-08-08 16:34:04.6324|2886|11|4737|Unknown|0000000000||
2011-08-08 16:34:05.4449|2840|7|1183|Unknown|0000000000||
2011-08-08 16:34:06.8356|1893|5|1540|Member|5243178676||
2011-08-08 16:34:06.9450|2807|7|8412|Member|5243789530||
2011-08-08 16:34:08.1012|2795|8|3322|Unknown|0000000000||
2011-08-08 16:34:08.6481|2966|11|5399|Employee|15900169041||9781421537399,9780316183215,9781935429173,9781421532738,9780316187626
2011-08-08 16:34:08.7888|2113|2|2556|Member|5313874524||9780756660185,9781400018499,9781848360846,9781741799941,9781741791594
2011-08-08 16:34:08.9138|2126|7|1215|Unknown|0000000000||9781933622446,9781933622453,9781933622439,9781933622095,9781891747007
